['294', '97', '146', '423', '15', '18', '409', '216', '183', '396', '186', '245', '221', '480', '156', '193', '270', '458', '499', '498', '489', '460', '457']
['453', '215', '63', '280', '6', '203', '176', '344', '11', '390', '406', '431', '20', '401', '306', '320', '467', '190', '420', '447', '436', '434', '422']
['125', '71', '21', '0', '178', '298', '478', '451', '379', '450', '58', '416', '92', '455', '172', '438', '162', '70', '419', '408', '405', '403', '399']
['246', '9', '317', '46', '497', '30', '331', '328', '485', '37', '115', '356', '75', '472', '32', '277', '360', '374', '398', '397', '391', '387', '370']
['346', '432', '299', '278', '404', '53', '29', '16', '241', '85', '166', '261', '474', '350', '207', '14', '415', '13']
['7', '51', '73', '95', '110', '117', '139', '161', '170', '173', '205', '227', '249', '252', '271', '293', '315', '337', '381', '407', '425', '469', '491']
['33', '55', '77', '99', '121', '143', '165', '168', '187', '209', '231', '247', '253', '275', '297', '319', '323', '363', '385', '429', '446', '473', '495']
['3', '25', '47', '69', '80', '91', '113', '134', '135', '157', '179', '189', '201', '223', '267', '311', '333', '355', '377', '421', '443', '449', '487']
['28', '35', '50', '72', '94', '116', '123', '138', '160', '181', '182', '204', '226', '248', '292', '336', '358', '375', '380', '402', '424', '468', '490']
['43', '65', '87', '109', '131', '153', '175', '197', '199', '219', '233', '263', '285', '307', '329', '351', '373', '393', '395', '417', '439', '461', '483']
['12', '34', '56', '78', '100', '122', '144', '148', '154', '188', '210', '232', '254', '276', '342', '364', '386', '430', '452', '462', '465', '476', '496']
['17', '39', '61', '83', '101', '105', '127', '149', '171', '222', '237', '255', '259', '281', '291', '303', '325', '347', '349', '369', '435', '464', '479']
['4', '26', '48', '114', '136', '158', '180', '202', '224', '268', '290', '310', '312', '334', '359', '378', '400', '412', '413', '428', '444', '466', '488']
['22', '42', '44', '64', '66', '86', '108', '130', '132', '152', '196', '198', '220', '240', '242', '262', '264', '284', '372', '394', '418', '440', '482']
['5', '31', '49', '119', '137', '141', '159', '163', '185', '229', '251', '269', '273', '295', '339', '357', '361', '383', '427', '459', '471', '493']
['8', '10', '52', '54', '74', '76', '96', '98', '118', '140', '164', '184', '206', '230', '250', '296', '338', '340', '362', '384', '426', '492', '494']
['2', '24', '59', '68', '81', '90', '103', '112', '147', '191', '200', '235', '244', '266', '279', '288', '332', '376', '411', '433', '442', '463', '486']
['19', '41', '62', '84', '106', '107', '128', '129', '150', '151', '217', '239', '243', '283', '304', '305', '326', '327', '348', '371', '392', '414', '437']
['1', '23', '38', '45', '60', '67', '82', '89', '104', '111', '126', '155', '214', '218', '236', '258', '309', '324', '341', '353', '410', '441', '456']
['27', '57', '79', '93', '102', '124', '167', '211', '212', '225', '234', '256', '300', '313', '322', '335', '343', '365', '366', '388', '445', '454', '475']
['40', '88', '169', '177', '192', '213', '238', '257', '274', '286', '289', '301', '308', '345', '352', '367', '382', '389', '448', '470', '477', '481', '484']
['36', '120', '133', '142', '145', '174', '194', '195', '208', '228', '260', '265', '272', '282', '287', '302', '314', '316', '318', '321', '330', '354', '368']
