['179', '21', '57', '189']
['149', '172', '26', '170']
['96', '124', '97', '3']
['174', '87', '11']
['115', '211', '47']
['36', '223', '135']
['241', '51', '238']
['150', '239', '102', '147', '81', '19', '78', '39', '10', '85']
['154', '242', '187', '104', '27', '235', '123', '121', '79', '196']
['24', '198', '233', '38', '184', '192', '146', '5', '169', '137']
['17', '117', '167', '141', '229', '16', '32', '247', '151', '119']
['100', '159', '176', '68', '103', '168', '197', '128', '138', '153']
['88', '243', '246', '64', '129', '221', '199', '75', '66', '190']
['245', '248', '22', '33', '158', '217', '227', '53', '62', '232']
['215', '7', '205', '41', '203', '55', '201', '208', '70', '31']
['99', '185', '156', '127', '42', '59', '202', '90', '63', '118']
['109', '9', '76', '200', '110', '164', '182', '101', '116', '125']
['212', '171', '43', '18', '80', '226', '91', '140', '105', '173']
['230', '186', '218', '92', '193', '8', '25', '14', '122', '213']
['52', '67', '161', '4', '216', '72', '209', '222', '15', '54']
['191', '204', '180', '163', '71', '177', '183', '225', '49', '20']
['95', '142', '130', '1', '143', '93', '157', '207', '56', '194']
['6', '240', '94', '13', '48', '107', '73', '86', '249', '133']
['44', '113', '144', '50', '29', '2', '195', '132', '165', '106']
['206', '61', '45', '214', '224', '112', '46', '160', '220', '111']
['175', '84', '98', '231', '134', '145', '219', '34', '108', '136']
['148', '234', '178', '83', '131', '228', '30', '237', '58', '89']
['166', '12', '23', '120', '188', '37', '155', '114', '162', '35']
['40', '210', '82', '60', '126', '236', '74', '65', '28', '152']
['69', '244', '0', '77', '181', '139']
