['15', '228', '127', '161', '283', '149', '260']
['319', '95', '93', '55', '38', '288', '179']
['323', '305', '178', '91', '43', '324', '338']
['64', '114', '78', '298', '350', '90', '318']
['193', '268', '128', '18', '148', '213', '200']
['75', '3', '108', '215', '73', '140', '333']
['79', '340', '214', '110', '219', '321', '245']
['57', '126', '130', '160', '270', '99', '40']
['163', '315', '285', '280', '198', '263', '225']
['204', '235', '8', '183', '233', '123', '58']
['105', '85', '20', '144', '248', '289', '169']
['158', '113', '266', '239', '231', '180', '274']
['70', '35', '320', '196', '23', '175', '53']
['5', '74', '22', '39', '4', '344', '155']
['254', '295', '134', '165', '190', '143', '336']
['303', '88', '253', '249', '218', '120', '162']
['50', '309', '184', '92', '9', '284', '109']
['19', '21', '330', '331', '332', '334', '335']
['121', '124', '125', '226', '227', '229', '230']
['51', '52', '54', '56', '261', '262', '265']
['86', '87', '89', '191', '192', '194', '195']
['256', '257', '258', '296', '297', '299', '300']
['80', '81', '82', '83', '84', '255', '269']
['156', '157', '159', '187', '197', '201', '203']
['27', '28', '29', '234', '236', '237', '238']
['12', '13', '33', '115', '117', '118', '119']
['290', '302', '306', '327', '339', '342', '343']
['46', '47', '48', '49', '152', '153', '154']
['16', '17', '25', '26', '60', '292', '294']
['61', '62', '199', '222', '223', '304', '308']
['94', '97', '186', '220', '224', '271', '273']
['10', '11', '131', '133', '150', '151', '243']
['251', '348', '347', '346', '345', '337', '322']
['135', '316', '314', '312', '311', '310', '307']
['106', '293', '287', '282', '281', '279', '278']
['63', '275', '272', '264', '247', '246', '244']
['1', '68', '76', '206', '252', '313', '349']
['103', '107', '132', '137', '141', '172', '205']
['112', '138', '182', '185', '286', '325', '328']
['317', '242', '240', '232', '221', '217', '216']
['37', '212', '211', '209', '208', '207', '202']
['24', '69', '136', '241', '267', '326', '329']
['45', '189', '188', '177', '176', '174', '173']
['59', '171', '170', '168', '166', '164', '147']
['14', '146', '142', '139', '129', '116', '111']
['122', '104', '102', '101', '100', '98', '96']
['167', '77', '72', '71', '66', '65', '41']
['42', '67', '181', '259', '277', '291', '341']
['276', '36', '34', '32', '31', '30', '6']
['145', '250', '44', '7', '210', '301', '2']
