['132', '140', '108', '44']
['452', '476', '212', '276']
['260', '116', '28', '228']
['236', '300', '488', '268']
['364', '460', '60', '196']
['252', '220', '92', '244']
['420', '316', '76', '36']
['356', '292', '404', '468']
['284', '372', '396', '348']
['148', '84', '124', '188']
['180', '380', '4', '52']
['156', '340', '332', '20']
['12', '412', '484', '308']
['164', '68', '388', '436']
['444', '100', '324', '172']
['17', '22', '29', '31']
['49', '54', '61', '63']
['465', '470', '477', '479']
['441', '446', '453', '455']
['409', '414', '421', '423']
['81', '86', '93', '95']
['385', '390', '397', '399']
['361', '365', '366', '367']
['113', '118', '125', '127']
['321', '326', '333', '335']
['145', '150', '157', '159']
['297', '302', '309', '311']
['257', '262', '269', '271']
['233', '238', '245', '247']
['169', '174', '181', '183']
['193', '198', '205', '207']
['209', '214', '221', '223']
['273', '278', '285', '287']
['337', '342', '349', '351']
['33', '38', '45', '47']
['65', '70', '77', '79']
['97', '102', '109', '111']
['129', '134', '141', '143']
['425', '430', '437', '439']
['1', '6', '13', '15']
['369', '374', '381', '383']
['481', '485', '486', '487']
['161', '165', '166', '167']
['225', '229', '230', '231']
['185', '189', '190', '191']
['249', '253', '254', '255']
['289', '293', '294', '295']
['457', '461', '462', '463']
['401', '405', '406', '407']
['313', '317', '318', '319']
['353', '357', '358', '359']
['25', '30', '37', '39']
['265', '270', '277', '279']
['433', '438', '445', '447']
['329', '334', '341', '343']
['9', '14', '21', '23']
['57', '62', '69', '71']
['41', '46', '53', '55']
['201', '206', '213', '215']
['377', '382', '389', '391']
['73', '78', '85', '87']
['105', '110', '117', '119']
['89', '94', '101', '103']
['489', '493', '494', '495']
['417', '422', '429', '431']
['137', '142', '149', '151']
['121', '126', '133', '135']
['0', '2', '5', '7']
['168', '170', '173', '175']
['192', '194', '197', '199']
['408', '410', '413', '415']
['232', '234', '237', '239']
['464', '466', '469', '471']
['256', '258', '261', '263']
['296', '298', '301', '303']
['320', '322', '325', '327']
['368', '370', '373', '375']
['153', '155', '158', '182']
['454', '473', '475', '478']
['222', '393', '395', '398']
['243', '246', '281', '286']
['305', '307', '310', '350']
['96', '352', '411', '467']
['218', '235', '299', '492']
['32', '56', '123', '315']
['19', '178', '288', '403']
['424', '482', '480', '474']
['146', '472', '459', '458']
['186', '456', '450', '448']
['451', '443', '442', '434']
['483', '432', '426', '419']
['416', '418', '400', '394']
['435', '392', '387', '386']
['347', '379', '378', '376']
['491', '371', '355', '346']
['216', '345', '344', '338']
['290', '336', '331', '330']
['203', '328', '323', '314']
['152', '312', '306', '304']
['64', '291', '283', '282']
['280', '275', '274', '272']
['58', '267', '266', '251']
['138', '250', '248', '242']
['440', '241', '227', '226']
['363', '224', '219', '217']
['171', '210', '202', '200']
['75', '195', '187', '184']
['82', '179', '177', '176']
['211', '163', '162', '160']
['384', '154', '147', '144']
['240', '139', '131', '130']
['360', '128', '122', '120']
['208', '115', '112', '107']
['99', '339', '362', '490']
['354', '106', '104', '98']
['136', '91', '90', '88']
['114', '83', '80', '74']
['50', '72', '67', '66']
['264', '59', '51', '48']
['259', '43', '42', '40']
['427', '35', '34', '27']
['449', '26', '24', '18']
['402', '16', '11', '10']
['204', '428', '3', '8']
